가게이름,카테고리,위치,평점,리뷰수
미스터리룸이스케이프 홍대2호점,,서울 마포구 독막로7길 41 2층,4.4,53
김앤김대게 서교점,게 | 대게,서울 마포구 양화로 100 3층,3.2,50
훌리오 홍대점,멕시칸 | 브라질,서울 마포구 와우산로13길 40 지하1층  1층,3.8,43
클럽에반스,칵테일바,서울 마포구 와우산로 63 2층,4.6,23
제임스시카고피자 홍대본점,피자,서울 마포구 어울마당로 122-1 1층,3.7,48
카페장쌤,카페,서울 마포구 와우산로29마길 5,4.0,111
또보겠지떡볶이집 호호피크닉점,떡볶이,서울 마포구 독막로3길 34 2층 201호,4.0,236
카츠미 홍대본점,일식,서울 마포구 어울마당로 51 2층,3.7,112
플레이보드 홍대2호점,보드카페,서울 마포구 잔다리로6길 20-9 3층,4.6,15
닭꼬얌,닭요리,서울 마포구 와우산로18길 29 지하 1층,3.7,47
손오공마라탕,중식,서울 마포구 양화로18길 15,3.4,64
라헬의부엌 홍대점,디저트카페,서울 마포구 와우산로29길 47,3.1,234
홍마떡 홍대본점,떡볶이,서울 마포구 어울마당로 112-6 1층,4.4,168
홍대씨부엉,떡볶이,서울 마포구 와우산로21길 28-6 1층,3.9,426
스파카나폴리,이탈리안,서울 마포구 양화로6길 28 2층,3.9,199
조선화로구이,육류 | 고기,서울 마포구 월드컵북로 5,4.0,37
딩굴딩굴알타미라,만화카페,서울 마포구 와우산로29길 21 지하1층,3.5,30
몬스터피자 본점,피자,서울 마포구 와우산로 73,3.7,4
고수포차,실내포장마차,서울 마포구 독막로 76-1 한주빌딩 1층 102호,4.6,104
돼지상회 홍대직영점,삼겹살,서울 마포구 홍익로5안길 28,,5
가로수포차,실내포장마차,서울 마포구 잔다리로6길 34-13 1  2층,4.1,69
서교참치,참치회,서울 마포구 와우산로23길 35-3 2층,3.8,79
쭌곱창,곱창 | 막창,서울 마포구 와우산로29마길 6,4.5,86
