가게이름,카테고리,위치,평점,리뷰수
파리바게뜨 연신내점,제과 | 베이커리,서울 은평구 통일로 855-8 진원와이타운상가 1층 104~107호,2.5,3
포차마실,실내포장마차,서울 은평구 연서로29길 10-1,3.5,1
아현닭발 연신내점,닭요리,서울 은평구 연서로27길 8-6,4.0,12
도리연닭도리탕 연신내점,한식,서울 은평구 연서로27길 20 1층 102호,4.3,85
웅추삼계탕,삼계탕,서울 은평구 연서로27길 9,3.2,7
신라마라탕 연신내점,중국요리,서울 은평구 연서로29길 14-6 2층,4.0,10
써브웨이 연신내점,샌드위치,서울 은평구 연서로 215-1 1층,2.9,8
투썸플레이스 연신내엘피스점,커피전문점,서울 은평구 통일로 829 1  2층,4.6,5
돌다리 김치찌개 연신내점,한식,서울 은평구 통일로 863-18,2.8,0
케이크를부탁해 연신내역점,카페,서울 은평구 연서로29길 8,3.8,8
비비드칩마카롱,디저트카페,서울 은평구 통일로75길 6-20,4.4,4
천유향,중국요리,서울 은평구 연서로29길 20-18 2층,4.1,5
꽃,일본식주점,서울 은평구 연서로29길 20-11 지하1층,4.3,1
섬진강명품민물장어,장어,서울 은평구 통일로85길 2,4.0,0
경복궁개성손만두 은평점,한식,서울 은평구 통일로82길 17 지하 2층,4.6,7
배스킨라빈스 연신내역점,아이스크림,서울 은평구 통일로 855-7,4.0,23
어사출또 연신내점,회,서울 은평구 통일로 863-23 1층,3.0,14
명륜진사갈비 서울연신내점,갈비,서울 은평구 통일로 835 2층,3.2,11
삿뽀로 우동초밥모밀전문점,돈까스 | 우동,서울 은평구 연서로28길 18,3.3,19
솥뚜껑삼겹살,삼겹살,서울 은평구 연서로29길 11 1층,2.1,21
엉터리생고기 연신내점,육류 | 고기,서울 은평구 통일로83길 6-10,4.1,10
치즈당,디저트카페,서울 은평구 통일로83길 5-4 1층,4.7,21
마산종가아구찜,아구,서울 은평구 연서로 191,4.5,10
주다,양식,서울 은평구 통일로83길 17-16,4.4,160
스시남,초밥 | 롤,서울 은평구 통일로83길 5-12 1층,3.6,16
죠몬,일식,서울 은평구 연서로27길 13-1 1층,4.3,12
놀숲 연신내로데오점,만화카페,서울 은평구 연서로29길 6 3층,3.1,7
초램양고기,양꼬치,서울 은평구 통일로85길 8,4.2,0
오징어청춘 연신내점,해물 | 생선,서울 은평구 연서로29길 20-6,1.6,7
이디야커피 연신내역점,커피전문점,서울 은평구 통일로 855-9,3.7,0
블루보틀 삼청 카페,카페,서울 종로구 북촌로5길 76 1~3층,3.3,931
황생가칼국수,국수,서울 종로구 북촌로5길 78,3.6,624
토속촌삼계탕,삼계탕,서울 종로구 자하문로5길 5,3.7,65
아키비스트,카페,서울 종로구 효자로13길 52 1층,3.7,702
스미스가 좋아하는 한옥,이탈리안,서울 종로구 삼청로 22-7,3.0,223
H라운지,카페,서울 종로구 자하문로4길 21-9,2.9,231
차마시는 뜰,전통찻집,서울 종로구 북촌로11나길 26 1층,4.4,238
삼청동수제비,수제비,서울 종로구 삼청로 101-1,2.8,930
서촌계단집,해물 | 생선,서울 종로구 자하문로1길 15 1층,3.1,535
테라로사 광화문점,커피전문점,서울 종로구 종로1길 50,3.7,129
체부동잔치집,국수,서울 종로구 자하문로1길 16 1층,3.8,532
몽중헌 안국점,중국요리,서울 종로구 북촌로 31-22,4.0,104
안주마을,호프 | 요리주점,서울 종로구 자하문로1길 3,4.1,319
이태리재,이탈리안,서울 종로구 율곡로1길 74-9 1층,3.4,225
칸다소바 경복궁점,일본식라면,서울 종로구 자하문로7길 5 1층,3.9,564
노티드 안국,디저트카페,서울 종로구 북촌로 6-3 1층,3.3,1344
청수정,한식,서울 종로구 삼청로 91,3.3,72
수와래,스테이크 | 립,서울 종로구 삼청로 82 2층,,227
안녕인사동,테마카페,서울 종로구 인사동길 49,4.1,511
라카페갤러리,갤러리카페,서울 종로구 자하문로10길 28 1층,4.6,119
어니언 안국점,카페,서울 종로구 계동길 5,3.5,1441
애즈라이크,카페,서울 종로구 효자로7길 23 1층,4.0,322
영화루,중국요리,서울 종로구 자하문로7길 65,3.0,242
가스트로통,양식,서울 종로구 자하문로6길 11-36 1층,3.2,255
깡통만두,분식,서울 종로구 북촌로2길 5-6,3.9,601
오레노라멘 인사점,일본식라면,서울 종로구 율곡로 49-4,4.1,537
가배도 삼청점,다방,서울 종로구 북촌로5길 56-8 101호,3.6,324
잘빠진메밀 서촌점,국수,서울 종로구 자하문로11길 4 1  2층,3.4,210
다운타우너 안국,햄버거,서울 종로구 북촌로 6-4 1층,4.1,1081
한일관 광화문점,한정식,서울 종로구 종로1길 50 더케이트윈타워 A동 지하1층,3.2,21
스태픽스,카페,서울 종로구 사직로9길 22 1층 102호,3.3,787
청진옥,해장국,서울 종로구 종로3길 32,2.9,264
소금집 델리 안국,샌드위치,서울 종로구 북촌로4길 19 신영빌딩 1층 103호,3.7,900
mk2,카페,서울 종로구 자하문로10길 17,3.3,174
광화문한옥집,한식,서울 종로구 새문안로5가길 7 세종클럽 지하 1층,3.1,115
온지음,한정식,서울 종로구 효자로 49 4층,4.2,30
나무사이로,커피전문점,서울 종로구 사직로8길 21 1층,3.9,153
도트블랭킷,카페,서울 종로구 윤보선길 22 1층,4.2,322
기와탭룸,호프 | 요리주점,서울 종로구 율곡로1길 74-7 1층,4.2,192
취천루,중국요리,서울 종로구 자하문로7길 9,3.5,112
경춘자의 라면땡기는날,분식,서울 종로구 율곡로3길 82,3.3,329
풍년쌀농산,분식,서울 종로구 북촌로5가길 32,3.3,361
코피티암커피 경복궁점,카페,서울 종로구 자하문로4길 7,3.1,134
크리스탈제이드 광화문상하이팰리스점,,서울 종로구 율곡로2길 7 서머셋팰리스 1층 103호,3.8,83
서촌뜰애우곱창타운,곱창 | 막창,서울 종로구 자하문로1나길 1,4.1,102
카페 레이어드 안국점,디저트카페,서울 종로구 북촌로2길 2-3,3.0,619
먹쉬돈나 삼청동점,떡볶이,서울 종로구 율곡로3길 74-7,2.6,103
포담,중국요리,서울 종로구 사직로 133-10 2층 1호,3.5,111
스코프 서촌점,제과 | 베이커리,서울 종로구 필운대로5가길 31,4.0,185
이태리총각,이탈리안,서울 종로구 자하문로9길 11,3.4,26
북촌도담,한식,서울 종로구 북촌로1길 9,3.4,229
두가헌,이탈리안,서울 종로구 삼청로 14,3.3,4
두오모 북스앤쿡스,이탈리안,서울 종로구 자하문로16길 5 1층,3.9,69
서촌김씨뜨라또리아,이탈리안,서울 종로구 자하문로9길 6 2층,4.1,108
사발,한식,서울 종로구 사직로8길 34 경희궁의아침 3단지 1층 142호,3.5,474
솔트24,제과 | 베이커리,서울 종로구 율곡로3길 75 1층,4.4,198
김진목삼,삼겹살,서울 종로구 자하문로1길 51 1층,4.6,158
마지,한식,서울 종로구 자하문로5길 19,3.8,38
차이797 광화문점,중식,서울 종로구 새문안로5길 31 센터포인트 광화문빌딩 2층,3.5,2
광화문뚝감,감자탕,서울 종로구 새문안로3길 21,4.0,226
대충유원지 인왕산,카페,서울 종로구 필운대로 46 무목적빌딩 4층,3.8,301
일품당 광화문점,샤브샤브,서울 종로구 세종대로23길 25,3.1,44
베이징코야,중국요리,서울 종로구 율곡로2길 25 연합뉴스 빌딩 지하 1층,3.6,42
꽃밥에피다,한식,서울 종로구 인사동16길 3-6 1층,,175
후라토식당 본점,한식,서울 종로구 새문안로5길 19 로얄빌딩 아케이드 지하1층 63호,4.0,155
소선재,한정식,서울 종로구 삼청로 113-1,2.5,46
효자베이커리,제과 | 베이커리,서울 종로구 필운대로 54,3.8,214
대장장이화덕피자,피자,서울 종로구 북촌로 42-4,3.8,160
효자동초밥,초밥 | 롤,서울 종로구 자하문로 14,2.9,112
이문설농탕,설렁탕,서울 종로구 우정국로 38-13 1층,3.0,350
더마틴,디저트카페,서울 종로구 자하문로 54-1,3.9,244
교대이층집 광화문점,삼겹살,서울 종로구 삼봉로 95,4.1,67
내자상회,카페,서울 종로구 사직로10길 3 1층,3.8,331
광화문미진 본점,한식,서울 종로구 종로 19 르메이에르종로타운 1층 116-2 117호,3.3,601
박순례손말이고기 산정집 광화문점,,서울 종로구 새문안로5가길 3-10 선덕빌딩 2층,2.9,236
포비 광화문점,카페,서울 종로구 종로3길 17 광화문D타워 1층 21호,4.2,530
부띠끄경성,양식,서울 종로구 삼청로 75-5,,89
설가온,한정식,서울 종로구 세종대로 175 세종문화회관 지하1층,,35
티엔미미 서촌점,중국요리,서울 종로구 자하문로7길 19 1층,3.9,256
조선김밥,분식,서울 종로구 율곡로3길 68,2.7,100
스모어마켓 토이하우스2,테마카페,서울 종로구 율곡로3길 74-3,4.4,232
화목순대국 광화문1호점,순대,서울 종로구 새문안로5길 11,3.9,74
라면점빵,분식,서울 종로구 자하문로1길 39,4.2,82
통인스윗,디저트카페,서울 종로구 자하문로7길 50,3.7,201
용금옥,추어,서울 종로구 자하문로 41-2,3.4,32
강구미주구리,회,서울 종로구 자하문로2길 5,3.8,42
준수방키친,양식,서울 종로구 자하문로11길 8,3.5,201
와이엔,카페,서울 종로구 윤보선길 71 1층,3.9,146
서울서둘째로잘하는집,전통찻집,서울 종로구 삼청로 122-1,4.0,162
베어카페,카페,서울 종로구 자하문로24길 24,3.3,140
돌밭메밀꽃,국수,서울 종로구 효자로 31-1,4.0,41
모던김밥,분식,서울 종로구 자하문로2길 10,3.2,17
백부장집닭한마리 본관,닭요리,서울 종로구 삼봉로 100-1,4.3,144
루뽀,와인바,서울 종로구 새문안로5길 31 센터포인트빌딩 2층,4.0,186
PKM가든레스토랑,양식,서울 종로구 삼청로7길 40 PKM갤러리 2층,4.3,34
플로라 삼청점,양식,서울 종로구 율곡로3길 74-6 1층,3.4,12
대오서점,카페,서울 종로구 자하문로7길 55,2.7,72
비스트로친친,이탈리안,서울 종로구 효자로13길 54 1층,,60
누하의숲,일식집,서울 종로구 필운대로 31-1,3.9,145
공기식당,일식,서울 종로구 필운대로6길 20-1,4.4,145
콩지POT지,이탈리안,서울 종로구 북촌로 21-15,3.8,306
스타벅스 경복궁역점,커피전문점,서울 종로구 자하문로4길 6 1층,3.7,22
대하식당,육류 | 고기,서울 종로구 자하문로7길 27,4.5,124
도마 인사점,한식,서울 종로구 인사동8길 6-1,4.1,124
우드앤브릭 재동점,제과 | 베이커리,서울 종로구 북촌로5길 14 1층,3.4,122
아지오,이탈리안,서울 종로구 인사동11길 23,3.1,228
진진수라 광화문점,한정식,서울 종로구 종로5길 7 타워8빌딩 지하 2층 201-206호,3.6,160
호아드카페&갤러리,갤러리카페,서울 종로구 율곡로1길 54-3,3.2,36
프리시즌,카페,서울 종로구 자하문로6길 9,3.6,147
들풀건강한밥상 청운동점,한식,서울 종로구 자하문로 118,3.3,42
버거드조선,햄버거,서울 종로구 사직로10길 7,4.2,161
조금,일식집,서울 종로구 인사동길 60,2.6,119
창성갈비,갈비,서울 종로구 자하문로 40-1,4.1,35
서린낙지,해물 | 생선,서울 종로구 종로 19 르메이에르 종로타운 2층,3.1,183
애호락,한식,서울 종로구 계동길 41 2층,3.7,156
삼백집 경복궁역점,국밥,서울 종로구 사직로 133-3,2.1,30
미락치킨 경복궁본점,치킨,서울 종로구 자하문로 17-1,3.3,104
로코랩,카페,서울 종로구 율곡로4길 51,4.2,109
블루보틀 삼청 한옥,커피전문점,서울 종로구 삼청로2길 40-3,3.4,114
국빈관,육류 | 고기,서울 종로구 자하문로2길 17-4,3.6,33
런던베이글뮤지엄 안국점,제과 | 베이커리,서울 종로구 북촌로4길 20 연화빌딩 1층,3.2,2607
개성만두 궁,한식,서울 종로구 인사동10길 11-3,2.9,211
백년토종삼계탕 북촌점,삼계탕,서울 종로구 북촌로 41,2.6,30
금용문,중국요리,서울 종로구 새문안로5가길 7 세종클럽 2층,3.6,111
월영당 서울,커피전문점,서울 종로구 북촌로5길 62,3.7,157
더레스토랑,이탈리안,서울 종로구 삼청로 54,3.5,27
히타토제면소,돈까스 | 우동,서울 종로구 자하문로7길 12 1층,3.5,92
오목집 광화문점,족발 | 보쌈,서울 종로구 삼봉로 98 1 2층,3.8,67
키즈나,초밥 | 롤,서울 종로구 율곡로1길 78 1층,4.4,131
할매집,감자탕,서울 종로구 사직로12길 1-5,2.5,141
경복궁박광일참치,참치회,서울 종로구 자하문로 26-1,3.7,92
청국장밥 삼청동점,한식,서울 종로구 삼청로2길 29-5,3.2,20
마산해물아구찜,해물 | 생선,서울 종로구 북촌로5길 6 2층,3.3,22
알로이막막,동남아음식,서울 종로구 자하문로7길 30,2.6,277
폴앤폴리나 광화문점,제과 | 베이커리,서울 종로구 사직로8길 42 광화문시대 1층,4.4,54
김용현 베이커리,제과 | 베이커리,서울 종로구 자하문로 21 1층,4.2,131
고치비,이탈리안,서울 종로구 필운대로 38 1층,3.5,236
힐사이드테이블,양식,서울 종로구 경희궁2길 7 1층,3.6,427
널담은공간 경복궁점,카페,서울 종로구 삼청로 24 1~3층,3.6,154
봉피양 경복궁점,갈비,서울 종로구 자하문로 20,2.5,23
헤르만의정원,카페,서울 종로구 자하문로7길 62,3.7,138
나주소나주곰탕 경복궁점,곰탕,서울 종로구 자하문로2길 8 1층,3.2,35
곰솔,한정식,서울 종로구 자하문로8길 9,4.3,0
종로도담,한식,서울 종로구 삼봉로 78 1 2층,,186
까델루뽀,이탈리안,서울 종로구 자하문로16길 5-5,3.9,37
참,칵테일바,서울 종로구 자하문로7길 34,4.7,8
The 94,양식,서울 종로구 자하문로10길 10-32,4.5,8
진가와 광화문점,일식집,서울 종로구 종로1길 50 더케이트윈타워 지하1층 15호,3.1,94
백미당 삼청점,아이스크림,서울 종로구 삼청로 48,1.8,83
감성타코 광화문점,멕시칸 | 브라질,서울 종로구 새문안로3길 23 경희궁의아침4단지 지하1층 B201호,3.1,131
오레노라멘 인사점,일본식라면,서울 종로구 율곡로 49-4,4.1,537
북촌도담,한식,서울 종로구 북촌로1길 9,3.4,229
도트블랭킷,카페,서울 종로구 윤보선길 22 1층,4.2,322
커피브론즈,커피전문점,서울 종로구 율곡로5길 20 1층,4.5,123
조선김밥,분식,서울 종로구 율곡로3길 68,2.7,100
플로라 삼청점,양식,서울 종로구 율곡로3길 74-6 1층,3.4,12
안국153,제과 | 베이커리,서울 종로구 율곡로 51 1층,2.9,101
티테라피 행랑점,카페,서울 종로구 윤보선길 74 1층,4.6,29
동백식당,국밥,서울 종로구 윤보선길 10,4.2,56
카페이드라,카페,서울 종로구 윤보선길 18 1층,4.8,28
이화돈까스,돈까스 | 우동,서울 종로구 율곡로 49-4 사비나미술관 지하1층,3.8,44
별궁식당,찌개 | 전골,서울 종로구 윤보선길 19-16,3.0,23
산체스막걸리,술집,서울 종로구 윤보선길 26 지하1층,3.8,55
북촌연잎밥,한정식,서울 종로구 율곡로5길 12,4.1,7
카페수달,카페,서울 종로구 율곡로 49-14 1층,4.0,188
카페포엠 안국역점,카페,서울 종로구 북촌로5길 19-4,3.4,17
소온테이블,이탈리안,서울 종로구 윤보선길 26,3.7,16
커피빈 안국역점,커피전문점,서울 종로구 율곡로 47 1  2층,4.2,8
벽오동,한정식,서울 종로구 율곡로3길 74-10,1.6,11
온6.5,한식,서울 종로구 북촌로1길 28 1층,3.4,94
지유가오카핫초메 삼청점,카페,서울 종로구 윤보선길 46,3.9,75
공간,칵테일바,서울 종로구 율곡로3길 66-4 1층,4.5,77
냐향in안국,베트남음식,서울 종로구 윤보선길 34-1 1층,4.4,98
맥주다방호시절,호프 | 요리주점,서울 종로구 윤보선길 10,3.3,6
종로삼대복집,복어,서울 종로구 북촌로1길 11,4.2,2
로마네꽁띠,와인바,서울 종로구 북촌로1길 30-20,5.0,3
마나님레시피,한식,서울 종로구 윤보선길 65,2.7,13
공공재커피클럽,카페,서울 종로구 윤보선길 35 1층 102호,5.0,46
코피발리 안국점,커피전문점,서울 종로구 율곡로5길 19 1~2층,4.4,26
콤포타블 안국,카페,서울 종로구 윤보선길 16-1 1층,4.6,85
아트마,카페,서울 종로구 율곡로 49-16 1층,4.6,47
이화가,한정식,서울 종로구 북촌로1길 28,3.5,4
베커린,제과 | 베이커리,서울 종로구 윤보선길 20,4.8,12
행복한베이커리&카페 안국점,제과 | 베이커리,서울 종로구 윤보선길 17,5.0,0
이태리탁,와인바,서울 종로구 율곡로5길 24 1층 한옥,3.3,5
보이차전문점 명가원,전통찻집,서울 종로구 윤보선길 19-18 1층,0.0,3
보뜨,테마카페,서울 종로구 윤보선길 28 1층 2호,5.0,25
삼방매,일본식라면,서울 종로구 율곡로5길 3-11 1층,3.7,96
언코르크드,와인바,서울 종로구 율곡로 55 지하1층,4.6,28
북촌손만두 삼청동점,분식,서울 종로구 율곡로3길 66-2 1층,2.8,19
올넥스트 카페코나퀸즈,카페,서울 종로구 윤보선길 22,0.0,0
르콘토엘,제과 | 베이커리,서울 종로구 윤보선길 78 1층,5.0,16
슈퍼커피 안국점,카페,서울 종로구 율곡로3길 64,0.0,1
아재커피 삼청점,커피전문점,서울 종로구 윤보선길 10,0.0,2
두만강,순대,서울 종로구 율곡로 49-16,0.0,0
작은숲,갤러리카페,서울 종로구 윤보선길 20,0.0,0
한국이동갈비,갈비,서울 종로구 율곡로 49-16,0.0,0
황진이가마솥밥,한식,서울 종로구 율곡로5길 18-10,0.0,0
아반떼,술집,서울 종로구 율곡로 55,5.0,0
할매쭈꾸미,해물 | 생선,서울 종로구 율곡로5길 6,0.0,0
진향당,전통찻집,서울 종로구 율곡로 49-16 1층,0.0,0
삼청동닭꼬치,분식,서울 종로구 율곡로3길 74-10 1층,0.0,0
