,가게이름,카테고리,위치,평점,리뷰수,위도,경도
80,경주식당 연신내점,한식,서울 은평구 연서로27길 13-8,3.9,92,37.617759,126.9174796
81,제이츠커피브루어스,카페,서울 은평구 연서로25길 20-3 1층,4.1,30,37.6174221,126.9168944
82,무명,일본식주점,서울 은평구 연서로29길 11-11,3.6,16,37.618401,126.9187028
83,은행나무 갈현동1그루점,샤브샤브,서울 은평구 연서로 183-4,4.0,12,37.6152378,126.9176612
84,홍가네사골곰탕,곰탕,서울 은평구 통일로82길 15,4.0,21,37.6212822,126.9202492
85,메밀마을,한식,서울 은평구 연서로26길 23-1,4.5,21,37.6159384,126.9216528
86,유토피아룸카페,카페,서울 은평구 연서로27길 16-8 2층,5.0,0,37.6183698,126.9181493
87,그남자고깃집,육류 | 고기,서울 은평구 연서로 178,3.9,60,37.614584,126.9180943
88,홍제동우동국수,국수,서울 은평구 통일로 803-1,4.0,5,37.615671,126.9242358
89,요요라멘,일본식라면,서울 은평구 연서로29길 30-12 1층,4.6,23,37.6200328,126.9174342
90,꿀백,불고기 | 두루치기,서울 은평구 통일로83길 9 1층,4.2,27,37.6208246,126.9188908
91,두끼떡볶이 연신내점,떡볶이,서울 은평구 연서로 217 2층,4.2,7,37.618066,126.9196093
92,라화방 연신내본점,중국요리,서울 은평구 연서로29길 30 1층,2.9,7,37.6197236,126.9173254
93,머스트,칵테일바,서울 은평구 연서로29길 17-4 2층,3.4,18,37.6189508,126.9182372
94,고기원칙 연신내점,육류 | 고기,서울 은평구 연서로29길 20-5,3.6,35,37.619616,126.9182638
95,쿵푸양꼬치,양꼬치,서울 은평구 통일로 833-4 2층,3.6,27,37.6177437,126.9217129
96,푸딩 연신내점,분식,서울 은평구 연서로25길 20-6,4.5,65,37.6174527,126.9171884
97,은평갈비,갈비,서울 은평구 연서로29길 8-15 충남빌딩 2층,3.7,29,37.6193735,126.91963
98,연신내 포항물회,회,서울 은평구 통일로83길 15-1 1층,,5,37.6207002,126.9180011
99,마마치킨 연신내점,치킨,서울 은평구 연서로29길 22-13 1~3층,4.0,19,37.6199192,126.9177236
100,곱창이어라,곱창 | 막창,서울 은평구 연서로29길 14-14 1층,3.7,80,37.6193947,126.9192864
101,멘야다이고미,일본식라면,서울 은평구 통일로 889 국용빌딩 1층,3.5,79,37.6223797,126.9195792
102,30CM왕돈까스,돈까스 | 우동,서울 은평구 연서로26길 27 지하1층 102호,4.4,25,37.6156573,126.9218472
103,쿠로,일식,서울 은평구 연서로 211-3 2층,4.2,150,37.6175485,126.9187887
104,한신포차 연신내점,실내포장마차,서울 은평구 연서로29길 14-13 1층,3.8,31,37.619544,126.9191529
105,유진참치,참치회,서울 은평구 연서로29길 20-8,3.0,1,37.6194889,126.9186462
