,가게이름,카테고리,위치,평점,리뷰수,위도,경도
637,경주식당,육류 | 고기,서울 마포구 와우산로13길 49-7,3.8,214,37.5483887,126.9211103
638,이츠모라멘,일본식라면,서울 마포구 와우산로23길 18-7 2층 202호,4.0,128,37.553961,126.9245962
639,오레노라멘 합정본점,일본식라면,서울 마포구 독막로6길 14,4.4,562,37.5474401,126.9172933
640,히어로보드게임카페 홍대1호점,보드카페,서울 마포구 와우산로21길 31-10 2층,4.5,81,37.552057,126.9218168
641,홍대조폭떡볶이,떡볶이,서울 마포구 어울마당로 60 반석빌딩 1층,2.9,117,37.5503687,126.9213545
642,소코아 홍대점,일식,서울 마포구 와우산로15길 49 1층,4.5,100,37.5485962,126.9209421
643,이빠네마그릴 홍대점,멕시칸 | 브라질,서울 마포구 홍익로 7 소망빌딩 지하1층,4.2,423,37.5532037,126.9234708
644,멘야산다이메 홍대점,일본식라면,서울 마포구 홍익로5안길 24,3.5,104,37.5536482,126.9214283
645,예티,인도음식,서울 마포구 와우산로18길 20,4.2,47,37.5509549,126.923983
646,마시타야,일본식라면,서울 마포구 와우산로29라길 26,4.0,124,37.5547875,126.9266045
647,초마 홍대본점,중국요리,서울 마포구 와우산로 72 2층,3.9,12,37.5508352,126.9234064
648,라멘트럭 상수본점,일본식라면,서울 마포구 독막로14길 31 1층,3.6,78,37.5474489,126.922586
649,서울이스케이프룸 홍대2호점,테마카페,서울 마포구 와우산로17길 11 코스모스빌딩 3층,3.0,88,37.550061,126.9223922
650,아웃닭 홍대점,치킨,서울 마포구 와우산로17길 19,3.5,72,37.55005010000001,126.9218876
651,하하&김종국의 401정육식당 홍대본점,,서울 마포구 잔다리로 23 1층,2.3,25,37.5507121,126.9201884
652,더피자보이즈,피자,서울 마포구 독막로9길 6 2층,4.1,104,37.5485391,126.9196234
653,제비다방,다방,서울 마포구 와우산로 24,4.3,67,37.5465823,126.9231065
654,더담,한정식,서울 마포구 와우산로29길 44 2층 201호,3.5,45,37.5557044,126.9277559
655,황곱 홍대점,곱창 | 막창,서울 마포구 어울마당로 149 1층,4.8,187,37.5566802,126.9263668
656,피자네버슬립스 합정본점,피자,서울 마포구 양화로6길 73 4  5층,4.0,353,37.54857459999999,126.9182807
657,ESC방탈출카페 홍대점,테마카페,서울 마포구 와우산로21길 19-16 지하2층,2.2,5,37.55177219999999,126.9225079
658,허밍벨라,카페,서울 마포구 독막로7길 57,3.5,159,37.5503215,126.9199349
659,바다회사랑 2호점,회,서울 마포구 동교로 143 1 2층,3.4,549,37.5554437,126.9177502
660,스케줄 합정,양식,서울 마포구 양화로6길 33 1층,3.8,889,37.5491725,126.9160777
661,혼가츠,돈까스 | 우동,서울 마포구 와우산로21길 36-6 102호,2.9,220,37.5526021,126.9220183
662,르쁘띠푸 홍대본점,디저트카페,서울 마포구 와우산로 62 삼애빌딩 2층,3.8,193,37.54989580000001,126.9232456
663,짬뽕지존 홍대점,중국요리,서울 마포구 어울마당로 44-1 보리수빌딩 1층,3.4,90,37.5489167,126.9209115
664,돈주는남자 본점,육류 | 고기,서울 마포구 잔다리로6길 34-9,3.4,116,37.5519052,126.92108
665,스탠스커피,카페,서울 마포구 와우산로11길 9 1층 101호,4.3,157,37.5487809,126.9224253
666,미어캣프랜즈,테마카페,서울 마포구 와우산로21길 20 예원빌딩 3층,1.8,62,37.5524188,126.9229592
667,또보겠지떡볶이집 스마일보이점,떡볶이,서울 마포구 와우산로29길 14-8 2층,3.6,130,37.5550433,126.9291813
668,산리오러버스클럽,카페,서울 마포구 와우산로19길 18 가동 1 2층,4.0,352,37.5513687,126.9220316
669,더피자보이즈 홍대입구역점,피자,서울 마포구 와우산로29마길 24-1 1층,3.9,152,37.5552679,126.9260362
670,38도씨식당,호프 | 요리주점,서울 마포구 와우산로17길 19-17 2층,3.6,154,37.5493886,126.921578
671,온블랙94,스테이크 | 립,서울 마포구 와우산로 39-14,3.8,66,37.5482425,126.9223629
672,또보겠지떡볶이집 호호시스터점,떡볶이,서울 마포구 양화로6길 45 2층,4.1,287,37.5489085,126.9167662
673,츠케루,일본식라면,서울 마포구 와우산로23길 9,4.6,159,37.5533991,126.9243428
674,철길왕갈비살,갈비,서울 마포구 와우산로32길 24,3.2,131,37.5544368,126.9316504
675,오리지널시카고피자 홍대본점,피자,서울 마포구 독막로7길 51 3 4층,4.0,158,37.5500682,126.9197235
676,어메이징농카이,태국음식,서울 마포구 동교로 156-11 1층,3.7,216,37.5552814,126.9199063
677,카레시,퓨전일식,서울 마포구 독막로9길 31,3.4,211,37.5496562,126.9202003
678,서강8경,양식,서울 마포구 토정로 128 8층,3.3,74,37.5448952,126.9253375
679,앤트러사이트 합정점,커피전문점,서울 마포구 토정로5길 10,3.5,242,37.5458006,126.9183208
680,후라토식당 상수직영점,돈까스 | 우동,서울 마포구 독막로15길 3-14,4.0,124,37.5485533,126.9213716
681,고기꾼김춘배,육류 | 고기,서울 마포구 홍익로3길 36 3 4층,3.9,43,37.552802,126.9215039
682,부산집 홍대본점,일본식주점,서울 마포구 와우산로38길 4,4.4,123,37.5554756,126.9309474
683,자세,칵테일바,서울 마포구 와우산로19길 6-11,3.3,7,37.5517122,126.9228403
684,카페 지금여기,카페,서울 마포구 양화로16길 30-5 3층,4.0,37,37.5527109,126.9212076
685,스아게K,일식,서울 마포구 와우산로29라길 7,4.1,176,37.55538019999999,126.9273848
686,꼼보포차 홍대2호점,실내포장마차,서울 마포구 와우산로17길 19,3.2,25,37.55005010000001,126.9218876
687,무신사테라스,카페,서울 마포구 양화로 188 AK&홍대 17층,3.4,391,37.5578973,126.9262816
688,은행골 홍대점,초밥 | 롤,서울 마포구 와우산로15길 34,3.4,85,37.5491435,126.9214752
689,합정광안리,회,서울 마포구 독막로3길 38 1층,4.0,165,37.5497933,126.917549
690,만만코코로 홍대점,호프 | 요리주점,서울 마포구 양화로16길 34 2  3층,1.4,34,37.5528445,126.9213279
691,빠넬로,양식,서울 마포구 어울마당로5길 29 1층,3.7,163,37.5493528,126.9189417
692,삼거리포차,실내포장마차,서울 마포구 와우산로 70,2.3,1,37.5518909,126.9262161
693,구공탄곱창 본점,곱창 | 막창,서울 마포구 양화로6길 77 1층,3.9,84,37.5485686,126.9185162
694,싸인이스케이프 홍대점,테마카페,서울 마포구 와우산로 65 6층,4.8,144,37.5503838,126.9228097
695,더페이머스버거 홍대점,햄버거,서울 마포구 잔다리로3안길 24 1층,3.1,170,37.5504495,126.9195539
696,효봉포차,실내포장마차,서울 마포구 와우산로18길 12,4.4,37,37.5506329,126.923742
697,홍스쭈꾸미 홍대본점,해물 | 생선,서울 마포구 어울마당로 146,3.7,270,37.556165,126.9260901
698,재미난조각가 홍대점,사주카페,서울 마포구 와우산로21길 24 2층,3.1,56,37.5524129,126.9227148
699,왔쏘 홍대점,고기뷔페,서울 마포구 독막로7길 20,4.7,21,37.5486519,126.9191544
700,괴르츠,양식,서울 마포구 토정로 136-13 우성빌딩 7층,3.2,198,37.5448202,126.9258059
701,포차끝판왕,실내포장마차,서울 마포구 잔다리로 3 5층,2.0,8,37.5504939,126.9226327
702,구스토타코,멕시칸 | 브라질,서울 마포구 와우산로 41,3.7,96,37.5481012,126.9227814
703,윤씨밀방,양식,서울 마포구 와우산로15길 15 지하1층,3.8,200,37.5496182,126.9223522
704,부탄츄 홍대점,일본식라면,서울 마포구 와우산로35길 75 1층,2.6,149,37.5563616,126.9267087
705,집사의하루 홍대점,고양이카페,서울 마포구 와우산로21길 19-8 태경빌딩 2층,4.6,40,37.5520331,126.9226558
706,델리인디아,인도음식,서울 마포구 독막로9길 8 2층,4.5,148,37.5486453,126.9197147
707,홍대인파스타,이탈리안,서울 마포구 홍익로5안길 32 홍대가자2빌딩 103호,4.1,147,37.5534406,126.921085
708,앵춘,술집,서울 마포구 독막로 81 1층,4.1,225,37.5479122,126.9224073
709,비스트로큐슈,퓨전일식,서울 마포구 와우산로 150-2 2층 (대로변에서 봤을때 2층  정면 1층),,109,37.5543526,126.9299211
710,와인로그,와인바,서울 마포구 와우산로21길 36-8 2 3층,3.5,47,37.5526979,126.9220498
711,웃사브,인도음식,서울 마포구 와우산로11길 10,3.6,89,37.5489986,126.9223815
712,달콤한거짓말,디저트카페,서울 마포구 독막로 61-4,4.1,188,37.5480287,126.9205689
713,심양 홍대점,양꼬치,서울 마포구 독막로9길 43,3.7,59,37.5501141,126.9205071
714,코노미 홍대점,일본식주점,서울 마포구 잔다리로6길 28,3.5,65,37.5521387,126.9206092
715,홍대개미 홍대점,퓨전일식,서울 마포구 독막로 67-9 엘렌아뜨리움 2 3층,2.4,47,37.547931,126.9210173
716,멜로우,테마카페,서울 마포구 잔다리로 30-11 1층,4.2,20,37.5518061,126.9199044
717,로쏘1924,피자,서울 마포구 홍익로 29 1층,3.8,642,37.5545727,126.921724
718,그동네떡볶이 홍대점,떡볶이,서울 마포구 와우산로27길 14 104호,,185,37.5540951,126.9275606
719,백년토종삼계탕 본점,삼계탕,서울 마포구 양화로 118,3.7,31,37.5537716,126.9202348
720,우동카덴 합정점,돈까스 | 우동,서울 마포구 양화로7안길 2-1 1 2층,3.1,152,37.5516488,126.9150324
721,철인7호치킨 홍대점,치킨,서울 마포구 양화로6길 99-3 반지하,5.0,64,37.5485034,126.9197586
722,민트하임,디저트카페,서울 마포구 잔다리로6길 28,3.8,103,37.5521387,126.9206092
723,스미비부타동,일식,서울 마포구 와우산로13길 19 1층,,398,37.5493034,126.9222152
724,1984,북카페,서울 마포구 동교로 194 혜원빌딩 1층,3.5,460,37.5573381,126.9228658
725,루프탑어반비치,와인바,서울 마포구 독막로9길 38 DE빌딩 6층,,77,37.5498537,126.9206105
726,21세기 우리바다수산,회,서울 마포구 동교로 173,2.5,74,37.55635400000001,126.9209264
727,미스터리룸이스케이프 홍대2호점,,서울 마포구 독막로7길 41 2층,4.4,53,37.549652,126.9194376
728,김앤김대게 서교점,게 | 대게,서울 마포구 양화로 100 3층,3.2,50,37.552704,126.918676
729,훌리오 홍대점,멕시칸 | 브라질,서울 마포구 와우산로13길 40 지하1층  1층,3.8,43,37.5488044,126.9212401
730,클럽에반스,칵테일바,서울 마포구 와우산로 63 2층,4.6,23,37.5502329,126.922865
731,제임스시카고피자 홍대본점,피자,서울 마포구 어울마당로 122-1 1층,3.7,48,37.5553972,126.9239055
732,카페장쌤,카페,서울 마포구 와우산로29마길 5,4.0,111,37.555689,126.9268598
733,또보겠지떡볶이집 호호피크닉점,떡볶이,서울 마포구 독막로3길 34 2층 201호,4.0,236,37.5496608,126.9174559
734,카츠미 홍대본점,일식,서울 마포구 어울마당로 51 2층,3.7,112,37.5496407,126.9206668
735,플레이보드 홍대2호점,보드카페,서울 마포구 잔다리로6길 20-9 3층,4.6,15,37.5519088,126.9206861
736,닭꼬얌,닭요리,서울 마포구 와우산로18길 29 지하 1층,3.7,47,37.5514252,126.9237725
737,손오공마라탕,중식,서울 마포구 양화로18길 15,3.4,64,37.5565487,126.9248883
738,라헬의부엌 홍대점,디저트카페,서울 마포구 와우산로29길 47,3.1,234,37.5554309,126.9282194
739,홍마떡 홍대본점,떡볶이,서울 마포구 어울마당로 112-6 1층,4.4,168,37.554628,126.9233382
740,홍대씨부엉,떡볶이,서울 마포구 와우산로21길 28-6 1층,3.9,426,37.5525448,126.922353
741,스파카나폴리,이탈리안,서울 마포구 양화로6길 28 2층,3.9,199,37.5488759,126.9155739
742,조선화로구이,육류 | 고기,서울 마포구 월드컵북로 5,4.0,37,37.5554877,126.9207839
743,딩굴딩굴알타미라,만화카페,서울 마포구 와우산로29길 21 지하1층,3.5,30,37.5548682,126.9285511
744,몬스터피자 본점,피자,서울 마포구 와우산로 73,3.7,4,37.5509881,126.9229741
745,고수포차,실내포장마차,서울 마포구 독막로 76-1 한주빌딩 1층 102호,4.6,104,37.5469402,126.9231218
746,돼지상회 홍대직영점,삼겹살,서울 마포구 홍익로5안길 28,,5,37.5535696,126.9212088
747,가로수포차,실내포장마차,서울 마포구 잔다리로6길 34-13 1  2층,4.1,69,37.5519108,126.9212067
748,서교참치,참치회,서울 마포구 와우산로23길 35-3 2층,3.8,79,37.5543861,126.9232976
749,쭌곱창,곱창 | 막창,서울 마포구 와우산로29마길 6,4.5,86,37.5558155,126.926695
